Unnamed: 0,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
183016,seat,SEAT Ateca,silver,09/2019,2019,24470,110,150,Automatic,Petrol,"5,7 l/100 km",129 g/km,52493.0,Style 1.5 TSI ACT Navi FSE Klimaautomatik
31199,bmw,BMW 318,grey,10/2013,2013,10000,105,143,Manual,Diesel,"4,3 l/100 km",114 g/km,160000.0,318d
180088,seat,SEAT Ateca,blue,07/2018,2018,23490,110,150,Manual,Petrol,"6,1 l/100 km",139 g/km,88000.0,Xcellence 4Drive 4x4/LED/KeyLess/LM
79876,hyundai,Hyundai i40,grey,12/2018,2018,16550,99,135,Manual,Petrol,"6,1 l/100 km",140 g/km,50912.0,i40 Kombi blue 1.6 Trend
57532,fiat,Fiat 500,white,04/2023,2023,17650,51,69,Manual,Petrol,"4,1 l/100 km",93 g/km,10.0,"Club 1,0 Hybrid"
202558,skoda,Skoda Fabia,black,03/2023,2023,19945,81,110,Manual,Petrol,"5,1 l/100 km",116 g/km,510.0,"Ambition TSI|SUNSET|15""|PDCHINTEN|WINTERPA"
179972,seat,SEAT Arona,blue,10/2018,2018,10890,85,116,Manual,Petrol,"4,9 l/100 km",113 g/km,190000.0,Style/Navi/EURO6/ISOFIX/DAB /LED
65280,ford,Ford Mondeo,grey,07/2017,2017,25990,132,179,Automatic,Hybrid,"3,9 l/100 km",89 g/km,56627.0,Hybrid Lim. (CNG)
39717,bmw,BMW X1,silver,06/2019,2019,23900,110,150,Automatic,Diesel,"4,6 l/100 km",121 g/km,73860.0,sDrive 18d LED Sitzhzg. AHK Einparkhilfe v/h
240987,volkswagen,Volkswagen Passat Variant,red,12/2020,2020,24499,90,122,Automatic,Diesel,"4,9 l/100 km",128 g/km,57887.0,Business 2.0 TDI DSG BMT NAVI LED
19147,audi,Audi Q2,red,02/2020,2020,26820,110,150,Automatic,Diesel,"5,5 l/100 km",145 g/km,27890.0,35 TDI S tronic S line LM LED KlimaA Teilled.
100190,mazda,Mazda CX-5,white,03/2019,2019,24990,121,165,Manual,Petrol,"6,4 l/100 km",168 g/km,34054.0,2.0L EXCLUSIVE-LINE
204940,smart,smart forFour,red,12/2021,2021,19999,60,82,Automatic,Electric,,0 g/km,8100.0,EQ Passion Exclusive 22kW LED Kamera
36282,bmw,BMW M4,grey,04/2017,2017,58990,331,450,Automatic,Petrol,"8,7 l/100 km",203 g/km,48340.0,Cabrio DKG *OHNE OPF* HUD 360° H/K KEYLESS
177848,seat,SEAT Ibiza,grey,03/2013,2013,7999,77,105,Manual,Petrol,"5,1 l/100 km",121 g/km,133422.0,1.2 TSI Style Viva NAVI TEMPOMAT PDC AHK
197396,skoda,Skoda Superb,white,10/2019,2019,26740,140,190,Automatic,Diesel,"5,3 l/100 km",123 g/km,87826.0,Combi 2.0 TDI DSG PREMIUM EDT *ACC *LED *VIRTUAL
247239,volvo,Volvo V40,white,03/2014,2014,7490,84,114,Manual,Diesel,"3,8 l/100 km",99 g/km,291000.0,Cross Country Kinetic 1.6d TOP! 2.Hand VB
8370,audi,Audi A3,blue,04/2014,2014,14200,132,179,Automatic,Petrol,"5,6 l/100 km",- (g/km),124000.0,A3 1.8 TFSI Sportback S tronic Ambiente
163280,peugeot,Peugeot 5008,grey,11/2022,2022,33388,96,131,Manual,Diesel,"4,1 l/100 km",134 g/km,10.0,1.5 BHDi 130 Allure LED Nav Kam180° 18Z 7-S
203698,smart,smart forTwo,white,09/2011,2011,5600,52,71,Automatic,Petrol,"4,2 l/100 km",97 g/km,104500.0,smart fortwo coupe softouch edition nightlight mic
227773,volkswagen,Volkswagen Sharan,grey,01/2014,2014,14550,103,140,Manual,Diesel,6 l/100 km,158 g/km,151000.0,2.0 TDI 4Motion BlueMotion Technology Comfortline
225475,volkswagen,Volkswagen up!,white,01/2012,2012,4000,55,75,Manual,Petrol,"4,7 l/100 km",108 g/km,172000.0,1.4 TSI Comf. EcoFuel DSG Erdgas
152309,opel,Opel Mokka X,silver,05/2019,2019,16588,103,140,Manual,Petrol,"6,6 l/100 km",165 g/km,65146.0,1.4 Turbo 140 Enjoy WinterP 17Z PDC Temp
184584,seat,SEAT Leon,silver,07/2020,2020,23480,96,131,Automatic,CNG,"3,6 kg/100 km",- (g/km),24791.0,Sportstourer 1.5 TGI DSG FR BLACK MATT EDIT
31339,bmw,BMW 114,black,09/2013,2013,7900,75,102,Manual,Petrol,"5,5 l/100 km",127 g/km,130000.0,114i
228323,volkswagen,Volkswagen Polo,black,06/2014,2014,10990,66,90,Manual,Petrol,"4,7 l/100 km",107 g/km,60150.0,"V Comfortline PDC, Sitzheizung, CD"
251019,volvo,Volvo XC60,grey,03/2023,2023,62850,145,197,Automatic,Petrol,7 l/100 km,160 g/km,2500.0,"B4 B Plus Dark 145 kW, 5-türig"
104046,mercedes-benz,Mercedes-Benz C 180,silver,04/2003,2003,4999,105,143,Manual,Petrol,"8,2 l/100 km",197 g/km,249000.0,Kompressor Sportcoupe JUBILÄUMSPREIS 25 JAHRE
48702,dacia,Dacia Sandero,blue,02/2018,2018,10980,66,90,Manual,Petrol,"4,9 l/100 km",109 g/km,77700.0,Prestige
168116,porsche,Porsche Macan,grey,11/2022,2022,119990,324,441,Automatic,Petrol,"9,9 l/100 km",225 g/km,3490.0,"GTS, Bose, GTS  Sport Paket,Panorama,AHK"
224198,volkswagen,Volkswagen Tiguan,grey,12/2012,2012,9990,90,122,Manual,Petrol,"6,5 l/100 km",152 g/km,139860.0,Comfortline  Passivfahrer
