Brand,Model,Year,Condition,Mileage,Gearbox,Fiscal Power,Fuel,Equipment,Number of Doors,Origin,First Owner,Location,Sector,Price
Renault,EXPRESS,2021,New,55 000 - 59 999,Manual,6 CV,Diesel,"['Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Speed Limiter', 'Onboard Computer', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Meknès,Other,148000.0
Dacia,Sandero,2022,Excellent,45 000 - 49 999,Manual,6 CV,Diesel,"['CD/MP3/Bluetooth', 'Air Conditioning', 'Cruise Control', 'Central Locking']",5.0,Customs-cleared car,No,Kénitra,Al Maghrib Al Arabi,128000.0
Renault,Kangoo,2008,Very Good,180 000 - 189 999,Manual,6 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,Yes,Casablanca,Al Madina Aljadida,45000.0
Ford,Focus,2009,Excellent,90 000 - 94 999,Manual,7 CV,Diesel,"['Alloy Wheels', 'Electric Windows']",5.0,WW in Morocco,No,Tanger,Other,85000.0
Dacia,Dokker,2015,Excellent,130 000 - 139 999,Manual,6 CV,Diesel,"['Alloy Wheels', 'Alloy Wheels']",,,,Casablanca,Sidi Bernoussi,102000.0
Renault,EXPRESS,2001,Excellent,40 000 - 44 999,Manual,5 CV,Diesel,"['Rear Camera', 'CD/MP3/Bluetooth']",3.0,WW in Morocco,No,Dakhla,Al Massira,53000.0
Renault,Clio,2012,Very Good,160 000 - 169 999,Manual,6 CV,Petrol,"['Leather Seats', 'Leather Seats']",5.0,Customs-cleared car,No,Fès,City Center,58000.0
Fiat,FIORINO,2019,Very Good,45 000 - 49 999,Manual,5 CV,Diesel,"['Airbags', 'Rear Camera', 'Onboard Computer', 'Parking Sensors', 'Central Locking']",5.0,,No,Agadir,Assaka,109000.0
Dacia,sandero_streetway,2023,Excellent,35 000 - 39 999,Manual,6 CV,Diesel,"['Leather Seats', 'Rear Camera']",5.0,WW in Morocco,Yes,Marrakech,Massira 1,
Volkswagen,Tiguan,2016,Very Good,200 000 - 249 999,Manual,8 CV,Diesel,"['ABS', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Casablanca,Sbata,
