brand,model,engine_size,engine_size_unit,engine_power,engine_power_unit,engine_aspiration,injection_type,year,mileage,mileage_unit,cylinders,body_type,transmission_type,transmission_technology,transmission_gears,energy_source,fuel_type,propulsion_system,drive_type,condition,color,doors,fuel_consumption,fuel_consumption_unit,equipment
seat,ateca,,,110,kw,,,2019,52493,km,,,automatic,,,,petrol,,,,silver,,5.7,l/100km,"[""climate_control"", ""navigation""]"
bmw,3 series,,,105,kw,,,2013,160000,km,,,manual,,,,diesel,,,,grey,,4.3,l/100km,[]
seat,ateca,,,110,kw,,,2018,88000,km,,,manual,,,,petrol,,,,blue,,6.1,l/100km,"[""alloy_wheels"", ""keyless_entry""]"
hyundai,i40,1.6,,99,kw,,,2018,50912,km,,wagon,manual,,,,petrol,,,,grey,,6.1,l/100km,[]
fiat,500,,,51,kw,,,2023,10,km,,,manual,,,,petrol,,,,white,,4.1,l/100km,[]
skoda,fabia,,,81,kw,,,2023,510,km,,,manual,,,,petrol,,,,black,,5.1,l/100km,[]
seat,arona,,,85,kw,,,2018,190000,km,,,manual,,,,petrol,,,,blue,,4.9,l/100km,"[""dab_radio"", ""navigation""]"
ford,mondeo,,,132,kw,,,2017,56627,km,,,automatic,,,hybrid,,,,,grey,,3.9,l/100km,[]
bmw,x1,,,110,kw,,,2019,73860,km,,,automatic,,,,diesel,,,,silver,,4.6,l/100km,"[""heated_seats"", ""parking_sensors"", ""tow_bar""]"
volkswagen,passat,,,90,kw,,,2020,57887,km,,,automatic,,,,diesel,,,,red,,4.9,l/100km,"[""navigation""]"
audi,q2,,,110,kw,,,2020,27890,km,,,automatic,,,,diesel,,,,red,,5.5,l/100km,"[""air_conditioning"", ""alloy_wheels"", ""leather_seats""]"
mazda,cx-5,2,l,121,kw,,,2019,34054,km,,,manual,,,,petrol,,,,white,,6.4,l/100km,[]
smart,forfour,,,60,kw,,,2021,8100,km,,,automatic,,,electric,,,,,red,,,,"[""rear_camera""]"
bmw,m4,,,331,kw,,,2017,48340,km,,convertible,automatic,,,,petrol,,,,grey,,8.7,l/100km,"[""head_up_display"", ""keyless_entry""]"
seat,ibiza,,,77,kw,,,2013,133422,km,,,manual,,,,petrol,,,,grey,,5.1,l/100km,"[""cruise_control"", ""navigation"", ""parking_sensors"", ""tow_bar""]"
skoda,superb,,,140,kw,,,2019,87826,km,,,automatic,,,,diesel,,,,white,,5.3,l/100km,"[""adaptive_cruise_control""]"
volvo,v40,,,84,kw,,,2014,291000,km,,,manual,,,,diesel,,,,white,,3.8,l/100km,[]
audi,a3,,,132,kw,,,2014,124000,km,,,automatic,,,,petrol,,,,blue,,5.6,l/100km,[]
peugeot,5008,1.5,,96,kw,,,2022,10,km,,,manual,,,,diesel,,,,grey,,4.1,l/100km,"[""navigation"", ""rear_camera""]"
smart,fortwo,,,52,kw,,,2011,104500,km,,,automatic,,,,petrol,,,,white,,4.2,l/100km,[]
volkswagen,sharan,2,,103,kw,,,2014,151000,km,,,manual,,,,diesel,,awd,,grey,,6,l/100km,[]
volkswagen,up!,,,55,kw,,,2012,172000,km,,,manual,,,,petrol,,,,white,,4.7,l/100km,[]
opel,mokka x,1.4,,103,kw,turbo,,2019,65146,km,,,manual,,,,petrol,,,,silver,,6.6,l/100km,"[""parking_sensors""]"
seat,leon,,,96,kw,,,2020,24791,km,,,automatic,,,,cng,,,,silver,,3.6,l/100km,[]
bmw,1 series,,,75,kw,,,2013,130000,km,,,manual,,,,petrol,,,,black,,5.5,l/100km,[]
volkswagen,polo,,,66,kw,,,2014,60150,km,,,manual,,,,petrol,,,,black,,4.7,l/100km,"[""bluetooth"", ""heated_seats"", ""parking_sensors""]"
volvo,xc60,,,145,kw,,,2023,2500,km,,,automatic,,,,petrol,,,,grey,5,7,l/100km,[]
mercedes-benz,c class,,,105,kw,,,2003,249000,km,,,manual,,,,petrol,,,,silver,,8.2,l/100km,[]
dacia,sandero,,,66,kw,,,2018,77700,km,,,manual,,,,petrol,,,,blue,,4.9,l/100km,[]
porsche,macan,,,324,kw,,,2022,3490,km,,,automatic,,,,petrol,,,,grey,,9.9,l/100km,"[""panoramic_roof"", ""premium_audio"", ""tow_bar""]"
volkswagen,tiguan,,,90,kw,,,2012,139860,km,,,manual,,,,petrol,,,,grey,,6.5,l/100km,[]
renault,clio,,,66,kw,,,2023,50,km,,,automatic,,,,petrol,,,,orange,,6.1,l/100km,"[""apple_carplay"", ""dab_radio""]"
volkswagen,touran,1.9,,77,kw,,,2010,164532,km,,,manual,,,,diesel,,,,black,,6,l/100km,"[""navigation""]"
jeep,compass,,,177,kw,,,2020,31060,km,,,automatic,,,hybrid,,phev,,,black,,2.1,l/100km,[]
alfa romeo,147,3.2,,184,kw,,,2004,151715,km,6,,manual,,,,petrol,,,,black,,12.1,l/100km,[]
porsche,boxster,,,232,kw,,,2013,45350,km,,,automatic,,,,petrol,,,,black,,8,l/100km,"[""heated_seats"", ""navigation"", ""premium_audio""]"
ssangyong,rexton,2.2,,131,kw,,,2017,44085,km,,,automatic,,,,diesel,,4wd,,black,,7,l/100km,"[""leather_seats"", ""navigation"", ""rear_camera""]"
bmw,1 series,,,90,kw,,,2008,214000,km,,,manual,,,,petrol,,,,grey,,5.8,l/100km,[]
mercedes-benz,b class,,,103,kw,,,2006,127500,km,,,automatic,,,,diesel,,,,grey,,6.3,l/100km,"[""air_conditioning"", ""parking_sensors""]"
bmw,m2,,,272,kw,,,2017,52594,km,,coupe,manual,,,,petrol,,,,blue,,8.5,l/100km,"[""navigation""]"
skoda,octavia,,,110,kw,,,2017,83532,km,,,manual,,,,petrol,,,,blue,,5.3,l/100km,"[""air_conditioning"", ""cruise_control"", ""parking_sensors"", ""tow_bar""]"
citroen,c4,,,60,kw,,,2015,90000,km,,,manual,,,,petrol,,,,black,,4.6,l/100km,"[""heated_seats"", ""navigation"", ""rear_camera""]"
volkswagen,up!,,,44,kw,,,2015,77000,km,,,manual,,,,petrol,,,,red,,4.5,l/100km,"[""air_conditioning"", ""electric_windows""]"
kia,sportage,1.7,,85,kw,,,2012,269622,km,,,manual,,,,diesel,,,,black,,5.3,l/100km,[]
audi,a6,,,180,kw,,,2012,197000,km,,,automatic,,,,diesel,,,,black,,5.7,l/100km,[]
bmw,5 series,,,235,kw,,,2018,122732,km,,,automatic,,,,diesel,,,,silver,,6.1,l/100km,"[""tow_bar""]"
alfa romeo,giulia,,,206,kw,turbo,,2023,15,km,,,automatic,,,,petrol,,,,silver,,7,l/100km,"[""apple_carplay"", ""climate_control""]"
audi,q2,,,85,kw,,,2018,49690,km,,,manual,,,,petrol,,,,white,,5.4,l/100km,"[""panoramic_roof"", ""parking_sensors"", ""tow_bar""]"
toyota,c-hr,,,72,kw,,,2023,10,km,,,automatic,,,hybrid,,,,,white,,3.8,l/100km,"[""air_conditioning"", ""alloy_wheels"", ""navigation""]"
audi,tt,2,,125,kw,,,2012,216000,km,,ABSTAIN,manual,,,,diesel,,,,silver,,5.6,l/100km,[]
bmw,x4,,,375,kw,,,2021,25000,km,,,automatic,,,,petrol,,,,grey,,10.9,l/100km,"[""adaptive_cruise_control"", ""dab_radio"", ""head_up_display""]"
