brand,model,engine_size,engine_size_unit,engine_power,engine_power_unit,engine_aspiration,injection_type,year,mileage,mileage_unit,cylinders,body_type,transmission_type,transmission_technology,transmission_gears,energy_source,fuel_type,propulsion_system,drive_type,condition,color,doors,fuel_consumption,fuel_consumption_unit,equipment
renault,express,,,,,,,2021,55000,,,,manual,,,,diesel,,,new,,5,,,"[""air_conditioning"", ""airbags"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""onboard_computer"", ""speed_limiter""]"
dacia,sandero,,,,,,,2022,45000,,,,manual,,,,diesel,,,excellent,,5,,,"[""air_conditioning"", ""bluetooth"", ""central_locking"", ""cruise_control""]"
renault,kangoo,,,,,,,2008,180000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""airbags"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""navigation"", ""parking_sensors"", ""rear_camera"", ""speed_limiter""]"
ford,focus,,,,,,,2009,90000,,,,manual,,,,diesel,,,excellent,,5,,,"[""alloy_wheels"", ""electric_windows""]"
dacia,dokker,,,,,,,2015,130000,,,,manual,,,,diesel,,,excellent,,,,,"[""alloy_wheels""]"
renault,express,,,,,,,2001,40000,,,,manual,,,,diesel,,,excellent,,3,,,"[""bluetooth"", ""rear_camera""]"
renault,clio,,,,,,,2012,160000,,,,manual,,,,petrol,,,very good,,5,,,"[""leather_seats""]"
fiat,fiorino,,,,,,,2019,45000,,,,manual,,,,diesel,,,very good,,5,,,"[""airbags"", ""central_locking"", ""onboard_computer"", ""parking_sensors"", ""rear_camera""]"
dacia,sandero,,,,,,,2023,35000,,,,manual,,,,diesel,,,excellent,,5,,,"[""leather_seats"", ""rear_camera""]"
volkswagen,tiguan,,,,,,,2016,200000,,,,manual,,,,diesel,,,very good,,5,,,"[""abs"", ""air_conditioning"", ""alloy_wheels"", ""bluetooth"", ""central_locking"", ""cruise_control"", ""electric_windows"", ""esp"", ""onboard_computer"", ""parking_sensors"", ""speed_limiter""]"
audi,rs3,,,,,,,2023,0,,,,automatic,,,,petrol,,,,,,,,"[""bluetooth"", ""electric_windows""]"
isuzu,d-max,,,,,,,2008,0,,,,automatic,,,,diesel,,,excellent,,3,,,"[""alloy_wheels"", ""electric_windows""]"
